2025-07-14 21:41:48,056 - test - INFO - _log_with_context:89 - Test message | Context: {"test_param": "value"}
2025-07-14 21:48:24,576 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 2.854, "memory_before_mb": 105.62890625, "memory_after_mb": 107.62890625, "memory_peak_mb": 107.62890625, "success": true}
2025-07-14 21:48:24,577 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 0.972, "memory_before_mb": 107.62890625, "memory_after_mb": 107.62890625, "memory_peak_mb": 107.62890625, "success": true}
2025-07-14 21:48:24,578 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "batch_item_processing", "duration_ms": 5.226, "memory_before_mb": 105.62890625, "memory_after_mb": 107.62890625, "memory_peak_mb": 105.62890625, "success": true}
2025-07-14 21:48:24,578 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "batch_processing", "duration_ms": 6.292, "memory_before_mb": 105.62890625, "memory_after_mb": 107.62890625, "memory_peak_mb": 105.62890625, "success": true}
2025-07-14 21:48:24,578 - src.chunkers.hybrid_chunker - INFO - _log_with_context:89 - Batch processing completed | Context: {"total_files": 2, "successful_files": 2, "total_chunks": 2}
2025-07-14 21:48:38,914 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 3.27, "memory_before_mb": 104.296875, "memory_after_mb": 106.54296875, "memory_peak_mb": 106.54296875, "success": true}
2025-07-14 21:48:38,915 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.083, "memory_before_mb": 106.54296875, "memory_after_mb": 106.54296875, "memory_peak_mb": 106.54296875, "success": true}
2025-07-14 21:48:38,916 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "batch_item_processing", "duration_ms": 5.682, "memory_before_mb": 104.296875, "memory_after_mb": 106.54296875, "memory_peak_mb": 104.296875, "success": true}
2025-07-14 21:48:38,916 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "batch_processing", "duration_ms": 6.603000000000001, "memory_before_mb": 104.296875, "memory_after_mb": 106.54296875, "memory_peak_mb": 104.296875, "success": true}
2025-07-14 21:48:38,916 - src.chunkers.hybrid_chunker - INFO - _log_with_context:89 - Batch processing completed | Context: {"total_files": 2, "successful_files": 2, "total_chunks": 2}
2025-07-14 21:50:35,927 - src.chunkers.evaluators - ERROR - _log_with_context:89 - Error in semantic analysis during chunk evaluation | Context: {"error": "TF-IDF failed", "error_type": "Exception", "num_chunks": 2}
2025-07-14 21:50:35,946 - src.chunkers.evaluators - ERROR - _log_with_context:89 - Error calculating overall quality score | Context: {"error": "'size_consistency'", "error_type": "KeyError"}
2025-07-14 21:50:35,957 - src.chunkers.evaluators - INFO - _log_with_context:89 - Evaluation report saved successfully | Context: {"output_path": "/tmp/tmp8sjn9jm3/test_report.md", "report_size_chars": 781}
2025-07-14 21:50:36,819 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.145, "memory_before_mb": 285.87109375, "memory_after_mb": 285.87109375, "memory_peak_mb": 285.87109375, "success": true}
2025-07-14 21:50:36,820 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 0.621, "memory_before_mb": 285.87109375, "memory_after_mb": 285.87109375, "memory_peak_mb": 285.87109375, "success": true}
2025-07-14 21:50:36,826 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 2.993, "memory_before_mb": 285.87109375, "memory_after_mb": 286.125, "memory_peak_mb": 286.125, "success": true}
2025-07-14 21:50:36,832 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 2.185, "memory_before_mb": 286.125, "memory_after_mb": 286.125, "memory_peak_mb": 286.125, "success": true}
2025-07-14 21:50:36,837 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 2.379, "memory_before_mb": 286.125, "memory_after_mb": 286.125, "memory_peak_mb": 286.125, "success": true}
2025-07-14 21:50:37,043 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.153, "memory_before_mb": 291.20703125, "memory_after_mb": 291.20703125, "memory_peak_mb": 291.20703125, "success": true}
2025-07-14 21:50:37,044 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.118, "memory_before_mb": 291.20703125, "memory_after_mb": 291.20703125, "memory_peak_mb": 291.20703125, "success": true}
2025-07-14 21:50:37,045 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "batch_item_processing", "duration_ms": 3.464, "memory_before_mb": 291.20703125, "memory_after_mb": 291.20703125, "memory_peak_mb": 291.20703125, "success": true}
2025-07-14 21:50:37,045 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "batch_processing", "duration_ms": 4.890000000000001, "memory_before_mb": 291.20703125, "memory_after_mb": 291.20703125, "memory_peak_mb": 291.20703125, "success": true}
2025-07-14 21:50:37,045 - src.chunkers.hybrid_chunker - INFO - _log_with_context:89 - Batch processing completed | Context: {"total_files": 2, "successful_files": 2, "total_chunks": 2}
2025-07-14 21:50:37,061 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.177, "memory_before_mb": 291.20703125, "memory_after_mb": 291.20703125, "memory_peak_mb": 291.20703125, "success": true}
2025-07-14 21:50:37,062 - src.chunkers.hybrid_chunker - ERROR - _log_with_context:89 - Known error processing file during batch processing | Context: {"file_path": "/tmp/tmpdfvstht6/nonexistent.md", "error": "File not found: /tmp/tmpdfvstht6/nonexistent.md (Details: file_path=/tmp/tmpdfvstht6/nonexistent.md)", "error_type": "FileHandlingError"}
2025-07-14 21:50:37,062 - src.utils.performance - ERROR - _log_with_context:89 - Failed to process item | Context: {"error": "BatchProcessingError.__init__() got an unexpected keyword argument 'file_path'", "item": "/tmp/tmpdfvstht6/nonexistent.md"}
2025-07-14 21:50:37,062 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "batch_item_processing", "duration_ms": 2.439, "memory_before_mb": 291.20703125, "memory_after_mb": 291.20703125, "memory_peak_mb": 291.20703125, "success": true}
2025-07-14 21:50:37,062 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "batch_processing", "duration_ms": 3.4880000000000004, "memory_before_mb": 291.20703125, "memory_after_mb": 291.20703125, "memory_peak_mb": 291.20703125, "success": true}
2025-07-14 21:50:37,063 - src.chunkers.hybrid_chunker - WARNING - _log_with_context:89 - File processing failed, stored empty result | Context: {"file_path": "/tmp/tmpdfvstht6/nonexistent.md"}
2025-07-14 21:50:37,063 - src.chunkers.hybrid_chunker - INFO - _log_with_context:89 - Batch processing completed | Context: {"total_files": 2, "successful_files": 1, "total_chunks": 1}
2025-07-14 21:50:37,071 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.24, "memory_before_mb": 293.20703125, "memory_after_mb": 293.20703125, "memory_peak_mb": 293.20703125, "success": true}
2025-07-14 21:50:37,072 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 0.982, "memory_before_mb": 293.20703125, "memory_after_mb": 293.20703125, "memory_peak_mb": 293.20703125, "success": true}
2025-07-14 21:50:37,074 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.092, "memory_before_mb": 293.20703125, "memory_after_mb": 293.20703125, "memory_peak_mb": 293.20703125, "success": true}
2025-07-14 21:50:40,126 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.388, "memory_before_mb": 293.20703125, "memory_after_mb": 293.20703125, "memory_peak_mb": 293.20703125, "success": true}
2025-07-14 21:50:40,128 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.245, "memory_before_mb": 293.20703125, "memory_after_mb": 293.20703125, "memory_peak_mb": 293.20703125, "success": true}
2025-07-14 21:50:40,130 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.232, "memory_before_mb": 293.20703125, "memory_after_mb": 293.20703125, "memory_peak_mb": 293.20703125, "success": true}
2025-07-14 21:50:40,133 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 2.7169999999999996, "memory_before_mb": 293.20703125, "memory_after_mb": 295.20703125, "memory_peak_mb": 293.20703125, "success": true}
2025-07-14 21:50:40,135 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 0.9700000000000001, "memory_before_mb": 295.20703125, "memory_after_mb": 295.20703125, "memory_peak_mb": 295.20703125, "success": true}
2025-07-14 21:50:40,138 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.6199999999999999, "memory_before_mb": 295.20703125, "memory_after_mb": 295.20703125, "memory_peak_mb": 295.20703125, "success": true}
2025-07-14 21:50:40,139 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 0.9460000000000001, "memory_before_mb": 295.20703125, "memory_after_mb": 295.20703125, "memory_peak_mb": 295.20703125, "success": true}
2025-07-14 21:50:40,140 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "batch_item_processing", "duration_ms": 3071.092, "memory_before_mb": 293.20703125, "memory_after_mb": 295.20703125, "memory_peak_mb": 293.20703125, "success": true}
2025-07-14 21:50:40,142 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 0.905, "memory_before_mb": 295.20703125, "memory_after_mb": 295.20703125, "memory_peak_mb": 295.20703125, "success": true}
2025-07-14 21:50:40,142 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "batch_item_processing", "duration_ms": 1.454, "memory_before_mb": 295.20703125, "memory_after_mb": 295.20703125, "memory_peak_mb": 293.20703125, "success": true}
2025-07-14 21:50:40,142 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "batch_processing", "duration_ms": 3075.669, "memory_before_mb": 291.20703125, "memory_after_mb": 295.20703125, "memory_peak_mb": 293.20703125, "success": true}
2025-07-14 21:50:40,143 - src.chunkers.hybrid_chunker - INFO - _log_with_context:89 - Batch processing completed | Context: {"total_files": 11, "successful_files": 11, "total_chunks": 11}
2025-07-14 21:50:40,158 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.721, "memory_before_mb": 295.20703125, "memory_after_mb": 295.20703125, "memory_peak_mb": 295.20703125, "success": true}
2025-07-14 21:50:40,163 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 4.126, "memory_before_mb": 295.20703125, "memory_after_mb": 295.20703125, "memory_peak_mb": 295.20703125, "success": true}
2025-07-14 21:50:40,169 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 3.148, "memory_before_mb": 295.20703125, "memory_after_mb": 297.20703125, "memory_peak_mb": 297.20703125, "success": true}
2025-07-14 21:50:40,183 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 0.8360000000000001, "memory_before_mb": 297.20703125, "memory_after_mb": 297.20703125, "memory_peak_mb": 297.20703125, "success": true}
2025-07-14 21:50:40,184 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 0.5339999999999999, "memory_before_mb": 297.20703125, "memory_after_mb": 297.20703125, "memory_peak_mb": 297.20703125, "success": true}
2025-07-14 21:50:40,186 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.391, "memory_before_mb": 297.20703125, "memory_after_mb": 297.20703125, "memory_peak_mb": 297.20703125, "success": true}
2025-07-14 21:50:40,187 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.059, "memory_before_mb": 297.20703125, "memory_after_mb": 297.20703125, "memory_peak_mb": 297.20703125, "success": true}
2025-07-14 21:50:40,189 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.181, "memory_before_mb": 297.20703125, "memory_after_mb": 297.20703125, "memory_peak_mb": 297.20703125, "success": true}
2025-07-14 21:50:40,191 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.0050000000000001, "memory_before_mb": 297.20703125, "memory_after_mb": 297.20703125, "memory_peak_mb": 297.20703125, "success": true}
2025-07-14 21:50:40,194 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 3.434, "memory_before_mb": 297.20703125, "memory_after_mb": 299.23046875, "memory_peak_mb": 299.23046875, "success": true}
2025-07-14 21:50:40,196 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.272, "memory_before_mb": 299.23046875, "memory_after_mb": 299.2421875, "memory_peak_mb": 299.2421875, "success": true}
2025-07-14 21:50:40,208 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 11.463, "memory_before_mb": 299.2421875, "memory_after_mb": 299.2421875, "memory_peak_mb": 299.2421875, "success": true}
2025-07-14 21:50:40,215 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.139, "memory_before_mb": 299.26171875, "memory_after_mb": 299.26171875, "memory_peak_mb": 299.26171875, "success": true}
2025-07-14 21:50:40,220 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 2.127, "memory_before_mb": 299.26171875, "memory_after_mb": 299.26171875, "memory_peak_mb": 299.26171875, "success": true}
2025-07-14 21:50:40,233 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.8550000000000002, "memory_before_mb": 297.359375, "memory_after_mb": 297.359375, "memory_peak_mb": 297.359375, "success": true}
2025-07-14 21:50:40,244 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 0.972, "memory_before_mb": 295.4140625, "memory_after_mb": 295.4140625, "memory_peak_mb": 295.4140625, "success": true}
2025-07-14 21:50:40,245 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.062, "memory_before_mb": 295.4140625, "memory_after_mb": 295.4140625, "memory_peak_mb": 295.4140625, "success": true}
2025-07-14 21:50:40,302 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.35, "memory_before_mb": 291.515625, "memory_after_mb": 291.515625, "memory_peak_mb": 291.515625, "success": true}
2025-07-14 21:50:40,309 - src.chunkers.evaluators - INFO - _log_with_context:89 - Evaluation report saved successfully | Context: {"output_path": "/tmp/tmpuda446wf/quality_report.md", "report_size_chars": 782}
2025-07-14 21:50:40,313 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 0.6669999999999999, "memory_before_mb": 291.515625, "memory_after_mb": 291.515625, "memory_peak_mb": 291.515625, "success": true}
2025-07-14 21:50:40,320 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.107, "memory_before_mb": 291.515625, "memory_after_mb": 291.515625, "memory_peak_mb": 291.515625, "success": true}
2025-07-14 21:50:40,322 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 0.8140000000000001, "memory_before_mb": 291.515625, "memory_after_mb": 291.515625, "memory_peak_mb": 291.515625, "success": true}
2025-07-14 21:50:40,323 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 0.9790000000000001, "memory_before_mb": 291.515625, "memory_after_mb": 291.515625, "memory_peak_mb": 291.515625, "success": true}
2025-07-14 21:50:40,325 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 0.8809999999999999, "memory_before_mb": 291.515625, "memory_after_mb": 291.515625, "memory_peak_mb": 291.515625, "success": true}
2025-07-14 21:50:40,327 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.5759999999999998, "memory_before_mb": 291.515625, "memory_after_mb": 293.515625, "memory_peak_mb": 293.515625, "success": true}
2025-07-14 21:50:40,329 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 0.975, "memory_before_mb": 293.515625, "memory_after_mb": 293.515625, "memory_peak_mb": 293.515625, "success": true}
2025-07-14 21:50:40,331 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.092, "memory_before_mb": 293.515625, "memory_after_mb": 293.515625, "memory_peak_mb": 293.515625, "success": true}
2025-07-14 21:50:40,333 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.148, "memory_before_mb": 293.515625, "memory_after_mb": 293.515625, "memory_peak_mb": 293.515625, "success": true}
2025-07-14 21:50:40,335 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.1340000000000001, "memory_before_mb": 293.52734375, "memory_after_mb": 293.52734375, "memory_peak_mb": 293.52734375, "success": true}
2025-07-14 21:50:40,337 - src.utils.performance - INFO - _log_with_context:89 - Completed operation monitoring | Context: {"operation": "chunk_document", "duration_ms": 1.306, "memory_before_mb": 293.52734375, "memory_after_mb": 293.52734375, "memory_peak_mb": 293.52734375, "success": true}
